,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
57,Namatanai,71,PG,1562173272,83,-3.66,152.44,78.92,13.65
58,Sao Jose da Coroa Grande,46,BR,1562173074,81,-8.9,-35.15,79.28,6.64
59,Salalah,75,OM,1562173274,89,17.01,54.1,84.2,12.75
60,Megion,0,RU,1562173276,73,61.04,76.11,73.4,6.71
61,Dikson,100,RU,1562173173,86,73.51,80.55,37.16,10.38
62,Vaini,92,IN,1562173278,86,15.34,74.49,78.38,6.49
63,Ukiah,1,US,1562173116,52,39.15,-123.21,77.0,3.36
64,Amga,65,RU,1562173280,88,60.89,131.98,44.9,4.05
65,Petropavlovsk-Kamchatskiy,90,RU,1562173281,100,53.05,158.65,46.4,2.24
66,Kapaa,75,US,1562173237,88,22.08,-159.32,75.2,5.82
67,Nizwa,5,OM,1562173087,46,22.93,57.53,84.68,2.08
68,Qujing,49,CN,1562173285,96,25.49,103.8,60.2,5.84
69,Faanui,81,PF,1562173286,71,-16.48,-151.75,77.12,33.44
70,Airai,37,TL,1562172993,84,-8.93,125.41,65.96,5.99
71,Biak,86,ID,1562173288,97,-0.91,122.88,63.26,2.19
72,Lunglei,55,IN,1562173290,97,22.89,92.75,76.22,3.49
73,Eureka,90,US,1562173215,93,40.8,-124.16,62.01,8.05
74,Broome,40,GB,1562173292,63,52.47,1.45,70.0,8.05
75,Corn Island,42,NI,1562173293,79,12.17,-83.04,81.62,18.43
76,Boende,94,CD,1562173294,62,-0.28,20.88,81.8,1.03
77,Sangmelima,94,CM,1562173296,96,2.93,11.98,70.64,2.57
78,Arlit,0,NE,1562173196,7,18.74,7.39,106.46,11.59
79,Solok,100,ID,1562173298,90,-0.79,100.66,67.58,3.4
80,Tura,0,RU,1562173283,46,64.27,100.22,56.24,4.81
81,Nikolskoye,90,RU,1562173300,87,59.7,30.79,60.01,6.71
82,Rawson,0,AR,1562173281,51,-43.3,-65.11,40.22,17.45
83,Puerto Ayora,75,EC,1562173303,69,-0.74,-90.35,73.4,16.11
84,Coquimbo,0,CL,1562173145,67,-29.95,-71.34,57.2,9.17
85,Chokurdakh,100,RU,1562173305,85,70.62,147.9,37.88,6.58
86,Iqaluit,20,CA,1562173306,86,63.75,-68.52,39.2,9.17
87,Talnakh,0,RU,1562173307,47,69.49,88.39,77.0,8.95
88,Lebu,57,ET,1562173309,85,8.96,38.73,58.58,2.04
89,Molo,73,KE,1562173310,97,-0.25,35.73,54.08,2.62
90,Ono,75,JP,1562173311,94,34.86,134.95,75.2,1.12
91,Pisco,90,PE,1562173090,30,-13.71,-76.2,71.6,6.93
92,Yelets,0,RU,1562173313,72,52.61,38.49,58.22,11.77
93,Wellsford,99,NZ,1562173315,86,-36.3,174.52,61.0,3.38
94,Cape Town,75,ZA,1562173256,77,-33.93,18.42,60.8,5.82
95,Chuy,69,UY,1562173317,64,-33.69,-53.46,49.04,18.16
96,Lewisporte,90,CA,1562173318,82,49.25,-55.06,57.2,6.93
97,Hambantota,84,LK,1562173029,81,6.12,81.12,83.24,15.82
98,Nabire,100,ID,1562173320,99,-3.36,135.5,69.02,1.7
99,Humberto de Campos,39,BR,1562173322,60,-2.6,-43.46,85.94,8.32
100,Mouzouras,0,GR,1562173323,51,35.53,24.15,87.8,9.17
101,Vostok,100,RU,1562173324,95,46.45,135.83,55.34,3.18
102,Oparino,0,RU,1562173325,96,59.85,48.28,57.32,5.14
103,Manjeshwar,40,IN,1562173326,88,12.72,74.89,80.6,9.17
104,Esperance,0,AU,1562173328,76,-33.86,121.89,50.0,12.75
105,Ulaanbaatar,40,MN,1562173274,37,47.92,106.92,69.8,17.9
106,Port Hueneme,75,US,1562173330,68,34.15,-119.2,73.99,4.7
107,Kaitangata,46,NZ,1562173174,75,-46.28,169.85,46.99,3.0
108,Tiksi,100,RU,1562173075,88,71.64,128.87,39.14,2.89
109,Axim,100,GH,1562173333,87,4.87,-2.24,77.84,12.64
110,Marawi,96,PH,1562173295,93,8.0,124.29,73.99,3.0
111,Kavieng,40,PG,1562173336,71,-2.57,150.8,83.24,3.74
112,Port-Gentil,20,GA,1562173337,78,-0.72,8.78,77.0,16.11
113,Acapulco,5,MX,1562173338,55,16.86,-99.88,89.6,5.82
114,Primorsk,100,RU,1562173339,74,60.37,28.62,55.99,7.0
115,Ishigaki,100,JP,1562173340,84,24.34,124.16,84.68,20.8
116,Guder,99,ET,1562173342,97,8.97,37.77,56.06,3.36
117,Riyadh,0,SA,1562173227,7,24.63,46.72,104.0,18.34
118,Beringovskiy,0,RU,1562173344,65,63.05,179.32,56.6,7.23
119,Cartagena,40,ES,1562173265,69,37.63,-1.0,87.8,12.75
120,Dayong,40,CN,1562173346,88,25.02,118.29,82.4,6.71
121,Arraial do Cabo,0,BR,1562173347,40,-22.97,-42.02,91.4,5.82
122,Kochkurovo,0,RU,1562173349,90,54.03,45.43,59.66,9.17
123,Bredasdorp,17,ZA,1562173129,63,-34.53,20.04,64.4,9.17
124,Fez,20,MA,1562173351,42,34.03,-5.02,82.4,11.41
125,Grenaa,31,DK,1562173352,54,56.42,10.88,59.0,21.92
126,Richards Bay,0,ZA,1562173354,58,-28.77,32.06,69.02,4.25
127,Samarai,54,PG,1562173355,90,-10.62,150.67,69.56,4.23
128,Saldanha,98,PT,1562173356,21,41.42,-6.55,87.56,7.58
129,Antofagasta,75,CL,1562173357,62,-23.65,-70.4,59.0,11.41
130,Severo-Kurilsk,100,RU,1562173358,99,50.68,156.12,42.56,7.11
131,Viedma,92,AR,1562173360,57,-40.81,-62.99,44.54,20.62
132,Bethel,90,US,1562173329,100,60.79,-161.76,53.6,18.34
133,Palmer,42,AU,1562173175,75,-34.85,139.16,51.01,4.7
134,Rehoboth,0,NA,1562173363,22,-23.31,17.08,51.56,6.38
135,Rypefjord,90,NO,1562173364,100,70.63,23.67,44.6,11.41
136,Ust-Ilimsk,65,RU,1562173365,50,57.96,102.73,56.6,5.46
137,Doha,0,QA,1562173367,70,25.29,51.53,96.8,9.17
138,Mehamn,90,NO,1562173368,93,71.03,27.85,46.4,6.93
139,Hasaki,90,JP,1562173239,94,35.73,140.83,73.4,5.82
140,Atherton,3,AU,1562173370,77,-17.27,145.48,62.6,5.82
141,Morondava,0,MG,1562173372,76,-20.3,44.28,76.76,22.79
142,Amapa,40,HN,1562173373,52,15.09,-87.97,95.0,4.7
143,Ballina,40,IE,1562173374,52,54.11,-9.15,66.2,3.36
144,Kahului,20,US,1562173375,78,20.89,-156.47,77.0,6.93
145,Charters Towers,29,AU,1562173376,77,-20.07,146.27,60.2,2.1
146,Ende,46,ID,1562173378,74,-8.84,121.65,78.02,7.23
147,Narathiwat,75,TH,1562173379,88,6.43,101.8,82.4,2.24
148,Port Hawkesbury,75,CA,1562173380,81,45.62,-61.36,61.0,16.11
149,Narsaq,20,GL,1562173381,44,60.91,-46.05,60.8,11.41
150,Juneau,75,US,1562173383,87,58.3,-134.42,64.0,5.82
151,Awjilah,0,LY,1562173384,20,29.14,21.3,85.76,13.33
152,Verkhoyansk,75,RU,1562173385,88,67.55,133.39,39.14,4.68
153,Itoman,40,JP,1562173323,88,26.12,127.67,82.4,10.29
154,Saint-Pierre,0,FR,1562173388,29,48.95,4.24,80.6,12.75
155,East London,0,ZA,1562173174,77,-33.02,27.91,60.8,6.93
156,Jalu,0,LY,1562173390,20,29.03,21.55,87.56,8.21
157,Qaanaaq,60,GL,1562173391,44,77.48,-69.36,46.7,2.33
158,Wufeng,100,CN,1562173392,99,27.44,104.87,62.0,4.03
159,Westport,20,US,1562173394,54,41.14,-73.36,88.0,2.64
160,Tefe,75,BR,1562173227,78,-3.35,-64.71,82.4,6.93
161,Stephenville,75,CA,1562173396,76,48.55,-58.59,51.8,16.11
162,Sungairaya,100,ID,1562173397,82,0.7,108.9,83.42,13.53
163,Kota Kinabalu,75,MY,1562173398,78,5.98,116.07,80.6,5.82
164,Cabo San Lucas,5,MX,1562173311,69,22.89,-109.91,89.01,6.93
165,Menomonie,40,US,1562173401,57,44.88,-91.92,86.0,3.36
166,Longyearbyen,75,NO,1562173402,75,78.22,15.63,44.6,9.17
167,Sisimiut,69,GL,1562173403,91,66.94,-53.67,39.32,18.5
168,Ust-Kut,0,RU,1562173405,46,56.78,105.75,55.7,7.76
169,Umm Lajj,0,SA,1562173390,72,25.02,37.27,85.4,11.32
170,Klaksvik,42,FO,1562173407,100,62.23,-6.59,50.0,13.87
171,Castro,40,CL,1562173169,93,-42.48,-73.76,46.4,6.93
172,Codrington,40,AU,1562173387,93,-28.95,153.24,66.2,6.87
173,Kodiak,75,US,1562173410,35,39.95,-94.76,86.0,8.05
174,Saint-Philippe,1,CA,1562173412,51,45.36,-73.48,88.0,4.7
175,Nanortalik,31,GL,1562173413,90,60.14,-45.24,36.8,0.47
176,Hualmay,37,PE,1562173414,82,-11.1,-77.61,62.72,13.51
177,Port Blair,100,IN,1562173415,80,11.67,92.75,83.42,23.49
178,Torbat-e Jam,0,IR,1562173416,27,35.24,60.63,68.12,12.19
179,Paita,75,PE,1562173418,290,-5.09,-81.11,62.6,18.34
180,Dicabisagan,93,PH,1562173419,94,17.08,122.42,74.42,2.53
181,Vestmannaeyjar,90,IS,1562173384,100,63.44,-20.27,51.8,11.41
182,Bakchar,75,RU,1562173421,89,57.02,82.07,67.22,7.92
183,Kharan,0,PK,1562173422,12,28.58,65.42,93.86,6.93
184,Tuktoyaktuk,40,CA,1562173423,76,69.44,-133.03,51.8,3.36
185,North Bend,40,US,1562173425,72,43.41,-124.22,64.0,5.82
186,Bud,75,NO,1562173426,87,62.91,6.91,46.4,18.34
187,Malanje,75,AO,1562173287,69,-9.54,16.35,78.8,4.7
188,Angoram,33,PG,1562173428,98,-4.06,144.07,71.9,1.41
189,Tocopilla,89,CL,1562173215,84,-22.09,-70.2,57.86,12.01
190,Vardo,1,US,1562173431,55,39.62,-77.74,89.01,6.93
191,Sitka,0,US,1562173432,32,37.17,-99.65,90.8,8.77
192,Cidreira,0,BR,1562173210,47,-30.17,-50.22,54.8,16.04
193,La Ronge,75,CA,1562173434,66,55.1,-105.3,55.4,11.41
194,Gobabis,0,NA,1562173435,9,-22.45,18.97,69.8,3.36
195,Xining,99,CN,1562173437,79,36.62,101.77,46.52,2.06
196,Raudeberg,75,NO,1562173397,81,61.99,5.14,48.2,13.87
197,Makakilo City,75,US,1562173335,88,21.35,-158.09,75.2,3.36
198,Heinola,100,FI,1562173440,81,61.2,26.03,53.6,4.7
199,Bulgan,86,MN,1562173442,97,48.81,103.53,53.54,7.02
200,Mahebourg,75,MU,1562173443,94,-20.41,57.7,69.8,5.82
201,Yinchuan,49,CN,1562173444,30,38.48,106.21,75.99,5.01
202,Taozhuang,0,CN,1562173445,53,39.86,116.51,87.01,4.47
203,Barra,0,GM,1562173446,62,13.49,-16.54,89.6,9.17
204,Hamilton,75,CA,1562173448,73,43.26,-79.87,84.0,2.24
205,Kalino,0,BG,1562173449,86,43.47,26.98,69.01,10.0
206,Victor Harbor,7,AU,1562173450,75,-35.55,138.62,51.01,4.7
207,Sulmona,20,IT,1562173451,58,42.05,13.93,96.8,4.7
208,Te Anau,84,NZ,1562173452,79,-45.41,167.72,41.66,3.85
209,Katobu,94,ID,1562173454,93,-4.94,122.53,72.08,4.41
210,Okato,100,NZ,1562173455,93,-39.19,173.88,54.0,14.0
211,Kemin,100,KG,1562173456,90,42.79,75.7,53.9,4.38
212,Kaseda,75,JP,1562173457,94,31.42,130.32,75.2,8.05
213,Suratgarh,0,IN,1562173436,19,29.32,73.9,103.76,8.43
214,Bage,100,IN,1562173460,98,12.95,75.85,71.18,4.32
215,Nome,75,US,1562173461,74,30.04,-94.42,86.0,8.05
216,Srednekolymsk,100,RU,1562173462,58,67.46,153.71,53.36,7.43
217,Holland,75,US,1562173442,70,42.79,-86.11,84.99,5.82
218,Inhambane,0,MZ,1562173182,72,-23.87,35.38,68.0,4.09
219,Hobyo,30,SO,1562173177,68,5.35,48.53,78.02,27.56
220,Luderitz,0,NA,1562173466,63,-26.65,15.16,64.4,10.29
221,Kindu,81,CD,1562173468,50,-2.95,25.92,82.16,2.55
222,Muli,95,CN,1562173469,76,28.08,109.56,69.38,2.93
223,Santa Isabel do Rio Negro,90,BR,1562173470,71,-0.41,-65.02,80.9,5.21
224,Talaya,0,RU,1562173471,88,55.79,84.89,71.01,6.71
225,Geraldton,75,CA,1562173473,50,49.72,-86.95,77.0,5.82
226,Cascais,40,PT,1562173474,72,38.7,-9.42,77.0,11.41
227,Otacilio Costa,63,BR,1562173475,99,-27.48,-50.12,57.99,1.99
228,Mar del Plata,5,AR,1562173476,59,-46.43,-67.52,34.64,10.0
229,Sarkand,99,KZ,1562173477,48,45.41,79.91,66.68,4.0
230,Palaikastron,0,GR,1562173478,75,35.2,26.25,76.4,12.73
231,Buchanan,75,LR,1562173480,74,5.88,-10.05,84.2,8.05
232,Lorengau,19,PG,1562173481,83,-2.02,147.27,78.02,4.38
233,Chintamani,40,IN,1562173482,69,13.4,78.05,78.8,17.22
234,Victoria,75,BN,1562173483,83,5.28,115.24,82.4,4.94
235,Yagodnoye,62,RU,1562173485,73,62.52,149.63,49.76,4.16
236,Ciudad Bolivar,29,VE,1562173486,46,8.12,-63.55,90.26,9.6
237,Malpe,40,IN,1562173487,88,13.35,74.72,80.6,9.17
238,Mitsamiouli,75,KM,1562173488,74,-11.38,43.28,78.8,10.29
239,Ilulissat,20,GL,1562173489,70,69.22,-51.1,42.8,8.05
240,Hofn,75,IS,1562173491,76,64.25,-15.21,53.6,5.82
241,Cayenne,75,GF,1562173428,66,4.94,-52.33,87.8,8.05
242,Itarema,6,BR,1562173493,64,-2.92,-39.92,84.68,10.94
243,Linxia,100,CN,1562173494,73,35.6,103.21,54.62,5.79
244,Numaligarh,53,IN,1562173495,92,26.63,93.73,76.4,2.93
245,Sola,27,TZ,1562173497,42,-3.17,33.8,74.42,9.04
246,Benemerito de las Americas,80,MX,1562173498,50,16.52,-90.64,88.28,5.08
247,Langsa,100,ID,1562173499,94,4.47,97.97,69.38,2.33
248,Ancud,40,CL,1562173500,93,-41.87,-73.83,46.4,6.93
249,Port Hedland,0,AU,1562173417,63,-20.31,118.58,60.8,8.05
250,Macusani,0,PE,1562173502,20,-14.07,-70.43,54.26,7.54
251,Isangel,59,VU,1562173504,75,-19.55,169.27,74.42,3.85
252,Smoky Lake,97,CA,1562173505,69,54.11,-112.47,63.0,7.99
253,Pangnirtung,75,CA,1562173506,76,66.15,-65.72,50.0,14.99
254,Thompson,75,CA,1562173507,62,55.74,-97.86,53.6,17.22
255,Roviai,0,GR,1562173508,27,38.82,23.23,93.2,8.05
256,Bayburt,4,TR,1562173510,82,40.26,40.22,49.04,8.55
257,Flinders,75,AU,1562173511,100,-34.58,150.85,61.0,3.94
258,Alyangula,48,AU,1562173512,93,-13.85,136.42,62.6,3.36
259,Leh,0,IN,1562173513,42,34.16,77.58,38.24,4.7
260,Hami,0,CN,1562173322,12,42.84,93.51,86.12,16.37
261,Lompoc,90,US,1562173279,82,34.64,-120.46,66.2,10.29
262,Avanigadda,40,IN,1562173517,59,16.02,80.92,89.6,5.82
263,Pangai,32,TO,1562173518,80,-19.8,-174.35,75.5,28.54
264,Ilula,4,TZ,1562173519,66,-7.68,36.04,60.92,10.54
265,Faya,40,SA,1562173520,53,18.39,42.45,78.8,10.29
266,Flin Flon,75,CA,1562173522,54,54.77,-101.88,57.2,10.29
267,Upernavik,50,GL,1562173523,82,72.79,-56.15,41.3,3.4
268,Salamiyah,0,SY,1562173524,45,35.01,37.05,74.78,13.6
269,Moron,79,HT,1562173525,80,18.56,-74.26,81.26,6.91
270,Wawa,15,NG,1562173526,67,9.9,4.41,84.32,3.18
271,Suntar,100,RU,1562173528,61,62.16,117.65,48.86,5.01
272,La Union,36,GT,1562173529,27,14.97,-89.29,86.0,1.99
273,Mount Lebanon,75,US,1562173530,69,40.38,-80.05,82.99,5.82
274,Kulpahar,86,IN,1562173531,54,25.32,79.64,92.06,5.86
275,Great Yarmouth,40,GB,1562173533,63,52.61,1.73,66.0,8.05
276,Maragogi,46,BR,1562173534,81,-9.01,-35.22,79.28,6.64
277,Georgetown,75,GY,1562173535,100,6.8,-58.16,82.4,4.7
278,Leningradskiy,100,RU,1562173536,96,69.38,178.42,36.44,6.67
279,Touho,17,NC,1562173537,89,-20.78,165.23,60.02,0.25
280,Fortuna,90,US,1562173356,93,40.6,-124.16,64.0,8.05
281,Marsa Matruh,0,EG,1562173540,69,31.35,27.25,82.4,11.41
282,Uyuni,100,BO,1562173541,23,-20.46,-66.82,48.5,17.6
283,Verkhnevilyuysk,89,RU,1562173542,56,63.45,120.31,48.86,6.33
284,Kavaratti,100,IN,1562173543,77,10.57,72.64,83.6,16.71
285,Cooma,90,AU,1562173544,100,-36.24,149.13,35.6,5.82
286,Moree,0,AU,1562173546,62,-29.46,149.84,51.8,8.05
287,Itapeva,91,BR,1562173259,62,-23.98,-48.88,71.9,12.44
288,Fairbanks,90,US,1562173548,77,64.84,-147.72,61.0,4.7
289,Norman Wells,75,CA,1562173549,87,65.28,-126.83,55.4,2.24
290,Haines Junction,87,CA,1562173550,62,60.75,-137.51,60.02,4.34
291,Albanel,75,CA,1562173552,53,48.88,-72.44,80.01,4.7
292,Matara,20,BI,1562173553,61,-3.48,29.48,82.4,13.87
293,Mazagao,75,BR,1562173554,66,-0.12,-51.29,89.6,11.41
294,Sindor,100,RU,1562173555,98,62.87,51.9,58.22,4.14
295,Kushima,75,JP,1562173557,94,31.5,131.29,75.2,8.05
296,Labuhan,0,ID,1562173558,90,-2.54,115.51,72.8,1.63
297,Komsomolskiy,20,RU,1562173559,60,67.55,63.78,72.98,11.03
298,Alghero,0,IT,1562173560,52,40.56,8.32,89.6,11.41
299,Los Llanos de Aridane,20,ES,1562173433,60,28.66,-17.92,75.2,18.34
300,Port Lincoln,0,AU,1562173562,76,-34.72,135.86,57.86,18.99
301,Kurkent,0,RU,1562173564,52,41.71,48.11,68.12,5.93
302,San Cristobal,89,HN,1562173565,30,14.68,-86.92,85.94,12.5
303,Shihezi,0,CN,1562173566,19,44.3,86.03,76.04,2.91
304,Dingle,100,PH,1562173567,86,11.0,122.67,75.68,3.22
305,Presidencia Roque Saenz Pena,0,AR,1562173569,39,-26.79,-60.44,63.08,7.99
306,Hovd,75,NO,1562173570,81,63.83,10.7,48.99,19.46
307,Lavrentiya,4,RU,1562173571,73,65.58,-170.99,52.64,7.05
308,Wote,84,KE,1562173573,49,-1.78,37.63,69.02,9.64
309,Panama City,1,US,1562173450,70,30.16,-85.65,93.99,10.29
310,Selaphum,100,TH,1562173575,90,16.03,103.94,71.9,20.22
311,Taywarah,0,AF,1562173576,29,33.35,64.42,67.58,7.2
312,Pitsunda,0,GE,1562173577,65,43.16,40.34,78.01,6.71
313,Harper,40,US,1562173579,65,30.3,-99.24,84.0,9.17
314,Ilo,75,PE,1562173580,87,-17.65,-71.34,60.8,4.7
315,Impfondo,98,CD,1562173581,75,1.62,18.06,78.2,2.48
316,Humaita,20,AR,1562173582,47,-24.93,-65.37,57.2,12.75
317,Dudinka,0,RU,1562173583,47,69.41,86.18,77.0,8.95
318,Barranca,37,PE,1562173585,82,-10.75,-77.76,62.72,13.51
319,Shitanjing,24,CN,1562173586,30,39.23,106.34,75.99,5.01
320,Ode,66,NG,1562173316,86,8.45,4.32,77.84,3.96
321,Caravelas,0,BR,1562173588,63,-17.73,-39.27,82.7,6.69
322,Maniitsoq,99,GL,1562173589,88,65.42,-52.9,40.4,6.33
323,Atar,22,MR,1562173591,6,20.52,-13.05,113.12,14.58
324,Cockburn Town,3,TC,1562173592,79,21.46,-71.14,82.34,11.32
325,Deer Lake,90,CA,1562173593,81,49.18,-57.43,53.6,9.17
326,Kattivakkam,40,IN,1562173594,79,13.22,80.32,87.8,11.41
327,Oliveira dos Brejinhos,0,BR,1562173595,24,-12.32,-42.89,90.08,3.47
328,Chara,0,GR,1562173597,27,39.42,22.43,96.8,8.05
329,Neiafu,20,TO,1562173598,83,-18.65,-173.98,75.2,14.99
330,Lesnoy,33,RU,1562173599,95,59.78,52.13,58.04,4.0
331,Lensk,46,RU,1562173600,77,60.71,114.91,42.74,3.74
332,Leon,1,US,1562173601,66,40.74,-93.75,87.01,8.05
333,Kamaishi,100,JP,1562173603,87,39.28,141.86,57.68,1.34
334,Nuuk,20,GL,1562173604,54,64.17,-51.74,55.4,5.82
335,Wabana,90,CA,1562173605,82,47.63,-52.95,61.0,11.41
336,Port Hardy,90,CA,1562173606,87,50.7,-127.42,57.2,3.36
337,Betsiamites,75,CA,1562173607,87,48.94,-68.65,60.8,4.7
338,Nouadhibou,0,MR,1562173609,64,20.93,-17.03,75.2,20.8
339,Nchelenge,0,ZM,1562173610,53,-9.35,28.74,69.74,4.05
340,Ahuimanu,75,US,1562173611,88,21.44,-157.84,77.0,3.36
341,Kristianstad,36,SE,1562173612,41,56.03,14.16,60.8,17.22
342,Lakselv,75,NO,1562173613,100,70.05,24.96,48.2,10.29
343,Constitucion,20,MX,1562173615,43,23.99,-104.67,73.0,13.42
344,Myitkyina,49,MM,1562173616,97,25.38,97.4,74.24,2.13
345,Vagur,100,FO,1562173617,96,61.47,-6.81,50.3,19.46
346,Chandbali,71,IN,1562173618,75,20.77,86.74,83.42,4.92
347,Cairns,0,AU,1562173606,77,-16.92,145.77,62.6,5.82
348,Zonguldak,0,TR,1562173621,61,41.25,31.83,79.0,9.17
349,Vila Velha,75,BR,1562173622,69,-3.71,-38.6,82.4,13.87
350,The Valley,40,AI,1562173623,58,18.22,-63.06,87.8,13.87
351,Petropavl,79,KZ,1562173624,92,54.87,69.13,57.68,5.21
352,Ca Mau,99,VN,1562173626,90,9.18,105.15,77.12,3.09
353,Burnie,0,AU,1562173627,93,-41.05,145.91,42.01,5.01
354,Karpathos,0,GR,1562173628,69,35.51,27.21,78.8,18.34
355,College,90,US,1562173629,77,64.86,-147.8,63.0,4.7
356,Mbala,2,ZM,1562173630,47,-8.85,31.37,66.68,8.84
357,Portobelo,40,PA,1562173463,74,9.55,-79.65,87.8,3.36
358,Yarada,75,IN,1562173633,79,17.65,83.27,86.0,9.17
359,Devrek,0,TR,1562173378,61,41.22,31.96,79.0,9.17
360,Poltavka,91,RU,1562173635,83,54.36,71.76,58.4,10.98
361,Clyde River,90,CA,1562173387,93,70.47,-68.59,35.6,14.99
362,Gorin,51,BF,1562173637,25,12.34,-0.67,100.34,5.1
363,Caracollo,0,PE,1562173639,14,-14.92,-70.66,55.52,6.93
364,Synya,21,RU,1562173348,60,65.37,58.04,68.84,5.1
365,Sinnamary,0,GF,1562173641,76,5.38,-52.96,80.72,12.15
366,Trofors,40,NO,1562173642,62,65.54,13.39,51.8,9.17
367,Jiazi,0,CN,1562173643,83,19.61,110.49,80.6,6.71
368,Labe,67,NG,1562173644,90,7.7,8.47,78.02,3.27
369,Ostuacan,86,MX,1562173646,61,17.42,-93.3,89.18,4.59
370,Chapais,1,CA,1562173647,41,49.78,-74.86,77.0,6.93
371,Honningsvag,75,NO,1562173648,100,70.98,25.97,46.4,6.93
372,Hervey Bay,40,AU,1562173649,87,-25.3,152.85,59.0,8.05
373,Coihaique,90,CL,1562173651,82,-45.58,-72.07,41.0,3.36
374,George,2,MW,1562173652,79,-15.35,34.83,64.34,4.59
375,Owando,98,CG,1562173653,60,-0.49,15.91,82.7,1.83
